Species	Phylum	[NH4]+ [µmol/l]	[PO4]3- [µmol/l]	Biom [g/l]	E [µmol/m**2/s]	[NO3]- [µmol/l]	SGR [%/day]
Pyropia yezoensis	Rhodophyta	150.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	150.00		10.00	150.00		
Pyropia yezoensis	Rhodophyta	150.00		20.00	150.00		
Pyropia yezoensis	Rhodophyta	20.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	40.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	75.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	150.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	250.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	150.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	150.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	150.00		5.00	150.00		
Pyropia yezoensis	Rhodophyta	71.80		5.00	350.00		
Pyropia yezoensis	Rhodophyta	71.50		10.00	350.00		
Pyropia yezoensis	Rhodophyta	71.50		10.00	350.00		
Pyropia yezoensis	Rhodophyta	70.30		10.00	350.00		
Gracilariopsis bailiniae	Rhodophyta	144.93	2.92	2.88	142.00	1.76	0.68
Gracilariopsis bailiniae	Rhodophyta	144.93	2.92	11.50	142.00	1.76	1.03
Gracilariopsis bailiniae	Rhodophyta	144.93	2.92	20.13	142.00	1.76	0.53
Gracilariopsis bailiniae	Rhodophyta	76.99	0.34	2.88	142.00	0.72	0.49
Gracilariopsis bailiniae	Rhodophyta	76.99	0.34	11.50	142.00	0.72	0.54
Gracilariopsis bailiniae	Rhodophyta	76.99	0.34	20.13	142.00	0.72	0.23
Gracilaria vermiculophylla	Rhodophyta	122.22	18.95	3.75	1400.00	116.13	4.25
Gracilaria vermiculophylla	Rhodophyta	122.22	18.95	6.25	1400.00	116.13	1.83
Gracilaria vermiculophylla	Rhodophyta	122.22	18.95	8.75	1400.00	116.13	0.87
Gracilaria vermiculophylla	Rhodophyta	122.22	18.95	3.75	1400.00	116.13	4.25
Gracilaria vermiculophylla	Rhodophyta	122.22	18.95	6.25	1400.00	116.13	1.83
Gracilaria vermiculophylla	Rhodophyta	122.22	18.95	8.75	1400.00	116.13	0.87
Palmaria palmata	Rhodophyta		10.15	6.43	780.00		1.10
Palmaria palmata	Rhodophyta		10.15	6.43	780.00		1.08
Palmaria palmata	Rhodophyta		2.85	6.43	780.00		0.81
Gracilaria	Rhodophyta	173.89		2.50	136.14	190.16	2.01
Gracilaria	Rhodophyta	103.89		2.50	136.14	173.55	1.50
Gracilaria	Rhodophyta	112.22		2.50	136.14	186.93	1.79
Gracilaria	Rhodophyta	148.89		2.50	136.14	225.16	2.37
Gracilaria	Rhodophyta	41.67		2.50	136.14	64.52	0.89
Gracilaria	Rhodophyta	32.22		2.50	136.14	50.48	1.94
Gracilaria	Rhodophyta	30.56		2.50	136.14	66.77	1.96
Gracilaria	Rhodophyta	44.44		2.50	136.14	69.03	3.07
Hypnea cervicornis	Rhodophyta	0.00	0.00		75.00		7.96
Hypnea cervicornis	Rhodophyta	10.00	1.00		75.00		7.57
Hypnea cervicornis	Rhodophyta	20.00	2.00		75.00		6.99
Hypnea cervicornis	Rhodophyta	30.00	3.00		75.00		10.27
Hypnea cervicornis	Rhodophyta	40.00	4.00		75.00		9.25
Hypnea cervicornis	Rhodophyta	50.00	5.00		75.00		10.13
Hypnea cervicornis	Rhodophyta	0.00	0.00		75.00		6.99
Hypnea cervicornis	Rhodophyta	10.00	0.10		75.00		8.27
Hypnea cervicornis	Rhodophyta	20.00	0.20		75.00		9.20
Hypnea cervicornis	Rhodophyta	30.00	0.30		75.00		10.44
Hypnea cervicornis	Rhodophyta	40.00	0.40		75.00		10.84
Hypnea cervicornis	Rhodophyta	50.00	0.50		75.00		11.55
Hypnea cervicornis	Rhodophyta		0.00		75.00	0.00	6.15
Hypnea cervicornis	Rhodophyta		10.00		75.00	100.00	13.19
Hypnea cervicornis	Rhodophyta		20.00		75.00	200.00	14.49
Hypnea cervicornis	Rhodophyta		30.00		75.00	300.00	13.56
Hypnea cervicornis	Rhodophyta		40.00		75.00	400.00	13.39
Hypnea cervicornis	Rhodophyta		50.00		75.00	500.00	13.53
Hypnea cervicornis	Rhodophyta		0.00		75.00	0.00	4.60
Hypnea cervicornis	Rhodophyta		1.00		75.00	100.00	11.37
Hypnea cervicornis	Rhodophyta		2.00		75.00	200.00	13.15
Hypnea cervicornis	Rhodophyta		3.00		75.00	300.00	13.34
Hypnea cervicornis	Rhodophyta		4.00		75.00	400.00	13.83
Hypnea cervicornis	Rhodophyta		5.00		75.00	500.00	12.86
Palmaria palmata	Rhodophyta	0.00	30.00	2.00	125.00	300.00	6.72
Palmaria palmata	Rhodophyta	30.00	30.00	2.00	125.00	270.00	6.87
Palmaria palmata	Rhodophyta	150.00	30.00	2.00	125.00	150.00	6.45
Palmaria palmata	Rhodophyta	270.00	30.00	2.00	125.00	30.00	5.88
Palmaria palmata	Rhodophyta	300.00	30.00	2.00	125.00	0.00	5.86
Chondrus crispus	Rhodophyta	0.00	30.00	2.00	125.00	300.00	4.95
Chondrus crispus	Rhodophyta	30.00	30.00	2.00	125.00	270.00	4.67
Chondrus crispus	Rhodophyta	150.00	30.00	2.00	125.00	150.00	4.89
Chondrus crispus	Rhodophyta	270.00	30.00	2.00	125.00	30.00	4.85
Chondrus crispus	Rhodophyta	300.00	30.00	2.00	125.00	0.00	5.04
aquatic seeding		0.06		5.00	92.16		
Macrocystis spp.	Phaeophyta	0.06		5.00	108.54		
Hypnea spinella	Rhodophyta	140.00	14.00	8.00	100.00		2.80
Hypnea spinella	Rhodophyta	140.00	14.00	8.00	100.00		5.20
Hypnea spinella	Rhodophyta	140.00	14.00	8.00	100.00		4.50
Palmaria palmata	Rhodophyta		3.00	2.00	125.00	30.00	3.40
Palmaria palmata	Rhodophyta		3.00	2.00	125.00	30.00	3.10
Palmaria palmata	Rhodophyta		3.00	2.00	125.00	30.00	2.40
Palmaria palmata	Rhodophyta		30.00	2.00	125.00	300.00	2.40
Palmaria palmata	Rhodophyta		30.00	2.00	125.00	300.00	4.70
Palmaria palmata	Rhodophyta		30.00	2.00	125.00	300.00	3.80
Chondrus crispus	Rhodophyta		3.00	2.00	125.00	30.00	2.40
Chondrus crispus	Rhodophyta		3.00	2.00	125.00	30.00	2.60
Chondrus crispus	Rhodophyta		3.00	2.00	125.00	30.00	3.30
Chondrus crispus	Rhodophyta		30.00	2.00	125.00	300.00	3.20
Chondrus crispus	Rhodophyta		30.00	2.00	125.00	300.00	4.20
Chondrus crispus	Rhodophyta		30.00	2.00	125.00	300.00	5.50
Gracilaria lemaneiformis	Rhodophyta	200.00	20.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	40.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	60.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	80.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	20.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	40.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	60.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	80.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	20.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	40.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	60.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	80.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	20.00		0.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	40.00		0.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	60.00		0.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	80.00		0.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	20.00		30.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	40.00		30.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	60.00		30.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	80.00		30.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	20.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	40.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	60.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	80.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	0.00	20.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	0.00	40.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	0.00	60.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	0.00	80.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	30.00	20.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	30.00	40.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	30.00	60.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	30.00	80.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	20.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	40.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	60.00		200.00		
Gracilaria lemaneiformis	Rhodophyta	200.00	80.00		200.00		
Cladophora coelothrix	Chlorophyta	27.10		1.67		43.20	
Cladophora coelothrix	Chlorophyta	27.10		3.34		43.20	
Cladophora coelothrix	Chlorophyta	27.10		6.67		43.20	
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.74
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		4.46
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		2.43
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.95
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		4.52
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.43
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.50
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		4.38
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.78
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		7.71
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.58
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		2.81
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		8.10
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.03
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.74
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		8.12
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.03
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.08
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		7.86
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.14
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		3.21
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		8.43
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.90
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.44
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		8.21
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.67
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.39
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		8.17
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.65
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		4.51
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		8.47
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.07
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.11
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		9.24
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		6.46
Cladophora coelothrix	Chlorophyta		0.65	1.00	150.00		5.22
Cladophora coelothrix	Chlorophyta	0.00		0.50	981.00	105.00	11.70
Cladophora coelothrix	Chlorophyta	26.25		0.50	981.00	78.75	10.70
Cladophora coelothrix	Chlorophyta	52.50		0.50	981.00	52.50	10.70
Cladophora coelothrix	Chlorophyta	78.75		0.50	981.00	26.25	7.60
Cladophora coelothrix	Chlorophyta	105.00		0.50	981.00	0.00	11.70
Cladophora coelothrix	Chlorophyta	0.00		0.50	981.00	105.00	14.90
Cladophora coelothrix	Chlorophyta	26.25		0.50	981.00	78.75	11.90
Cladophora coelothrix	Chlorophyta	52.50		0.50	981.00	52.50	13.10
Cladophora coelothrix	Chlorophyta	78.75		0.50	981.00	26.25	12.50
Cladophora coelothrix	Chlorophyta	105.00		0.50	981.00	0.00	15.40
Laminaria japonica	Phaeophyta		3.85		50.00		
Laminaria japonica	Phaeophyta		6.92		50.00		
Laminaria japonica	Phaeophyta		18.56		50.00		
Laminaria japonica	Phaeophyta		3.15		50.00		
Laminaria japonica	Phaeophyta		7.15		50.00		
Laminaria japonica	Phaeophyta		22.15		50.00		
Laminaria japonica	Phaeophyta		12.16		50.00		
Laminaria japonica	Phaeophyta		7.14		50.00		
Laminaria japonica	Phaeophyta		5.49		50.00		
Laminaria japonica	Phaeophyta		3.83		50.00		
Laminaria japonica	Phaeophyta		3.16		50.00		
Laminaria japonica	Phaeophyta	50.00			50.00	40.00	
Laminaria japonica	Phaeophyta	39.13			50.00	50.87	
Laminaria japonica	Phaeophyta	30.00			50.00	60.00	
Laminaria japonica	Phaeophyta	21.43			50.00	68.57	
Laminaria japonica	Phaeophyta	9.57			50.00	80.43	
Laminaria japonica	Phaeophyta		7.15		50.00		
Laminaria japonica	Phaeophyta		7.15		50.00		
Laminaria japonica	Phaeophyta		7.15		50.00		
Laminaria japonica	Phaeophyta		7.15		50.00		
Laminaria japonica	Phaeophyta		7.15		18.00		
Laminaria japonica	Phaeophyta		7.15		36.00		
Laminaria japonica	Phaeophyta		7.15		72.00		
Laminaria japonica	Phaeophyta		7.15		144.00		
Laminaria japonica	Phaeophyta		7.15		270.00		
Ulva lactuca	Chlorophyta	24.44	4.53	1.00	80.00	76.13	0.77
Ulva lactuca	Chlorophyta	24.44	4.53	2.00	80.00	76.13	0.55
Ulva lactuca	Chlorophyta	24.44	4.53	4.00	80.00	76.13	0.16
Ulva lactuca	Chlorophyta	24.44	4.53	8.00	80.00	76.13	-0.56
Ulva clathrata	Chlorophyta			1.40			7.10
Ulva clathrata	Chlorophyta	52.25	2.36	5.00		2.91	2.80
Ulva clathrata	Chlorophyta	47.22	0.62	0.00		3.44	
Ulva clathrata	Chlorophyta	47.22	0.56	5.00		3.67	0.40
Ulva clathrata	Chlorophyta	47.22	0.62	0.00		5.59	
Gracilaria vermiculophylla	Rhodophyta	150.00	60.00	2.00	150.00	450.00	
Gracilaria vermiculophylla	Rhodophyta	50.00	30.00	2.00	150.00	250.00	
Gracilaria vermiculophylla	Rhodophyta	5.00	3.50	2.00	150.00	30.00	
Gracilaria vermiculophylla	Rhodophyta	50.00	5.00	2.00	150.00	0.00	
Gracilaria vermiculophylla	Rhodophyta	0.00	5.00	2.00	150.00	50.00	
Gracilaria vermiculophylla	Rhodophyta	150.00	60.00	2.00	150.00	450.00	16.56
Gracilaria vermiculophylla	Rhodophyta	50.00	30.00	2.00	150.00	250.00	16.56
Gracilaria vermiculophylla	Rhodophyta	5.00	3.50	2.00	150.00	30.00	16.56
Gracilaria vermiculophylla	Rhodophyta	50.00	5.00	2.00	150.00	0.00	16.56
Gracilaria vermiculophylla	Rhodophyta	0.00	5.00	2.00	150.00	50.00	16.56
Gracilaria chilensis	Rhodophyta	1.68			1377.00	12.84	4.07
Gracilaria chilensis	Rhodophyta	1.29			1377.00	13.02	4.23
Gracilaria chilensis	Rhodophyta	3.60			1377.00	12.85	3.57
Gracilaria chilensis	Rhodophyta	3.39			1377.00	1.07	3.71
Gracilaria chilensis	Rhodophyta	1.68				12.84	1.97
Gracilaria chilensis	Rhodophyta	1.29				13.02	1.90
Gracilaria chilensis	Rhodophyta	3.60				12.85	1.37
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		0.00
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		0.00
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		0.00
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		14.46
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		17.71
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		19.79
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		23.77
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		16.14
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		16.31
Cladophora coelothrix	Chlorophyta	370.00	22.00		100.00		8.53
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		0.00
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		5.90
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		18.27
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		30.20
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		31.39
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		14.35
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		14.36
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		9.67
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		11.75
Chaetomorpha indica	Chlorophyta	370.00	22.00		100.00		12.79
Ulva sp.	Chlorophyta	370.00	22.00		100.00		0.00
Ulva sp.	Chlorophyta	370.00	22.00		100.00		7.08
Ulva sp.	Chlorophyta	370.00	22.00		100.00		19.89
Ulva sp.	Chlorophyta	370.00	22.00		100.00		25.05
Ulva sp.	Chlorophyta	370.00	22.00		100.00		14.04
Ulva sp.	Chlorophyta	370.00	22.00		100.00		16.55
Ulva sp.	Chlorophyta	370.00	22.00		100.00		13.04
Ulva sp.	Chlorophyta	370.00	22.00		100.00		13.50
Ulva sp.	Chlorophyta	370.00	22.00		100.00		14.69
Ulva sp.	Chlorophyta	370.00	22.00		100.00		15.00
Cladophora coelothrix	Chlorophyta	0.00			100.00		1.53
Cladophora coelothrix	Chlorophyta	0.00			100.00		9.40
Cladophora coelothrix	Chlorophyta	0.00			100.00		7.11
Cladophora coelothrix	Chlorophyta	7.00			100.00		2.07
Cladophora coelothrix	Chlorophyta	7.00			100.00		10.31
Cladophora coelothrix	Chlorophyta	7.00			100.00		6.76
Cladophora coelothrix	Chlorophyta	35.00			100.00		6.53
Cladophora coelothrix	Chlorophyta	35.00			100.00		14.14
Cladophora coelothrix	Chlorophyta	35.00			100.00		5.39
Cladophora coelothrix	Chlorophyta	70.00			100.00		2.24
Cladophora coelothrix	Chlorophyta	70.00			100.00		13.78
Cladophora coelothrix	Chlorophyta	70.00			100.00		7.19
Cladophora coelothrix	Chlorophyta	700.00			100.00		2.27
Cladophora coelothrix	Chlorophyta	700.00			100.00		3.92
Cladophora coelothrix	Chlorophyta	700.00			100.00		2.52
Chaetomorpha indica	Chlorophyta	0.00			100.00		8.05
Chaetomorpha indica	Chlorophyta	0.00			100.00		4.55
Chaetomorpha indica	Chlorophyta	0.00			100.00		2.48
Chaetomorpha indica	Chlorophyta	7.00			100.00		10.67
Chaetomorpha indica	Chlorophyta	7.00			100.00		9.63
Chaetomorpha indica	Chlorophyta	7.00			100.00		4.06
Chaetomorpha indica	Chlorophyta	35.00			100.00		14.07
Chaetomorpha indica	Chlorophyta	35.00			100.00		8.75
Chaetomorpha indica	Chlorophyta	35.00			100.00		6.55
Chaetomorpha indica	Chlorophyta	70.00			100.00		11.76
Chaetomorpha indica	Chlorophyta	70.00			100.00		12.41
Chaetomorpha indica	Chlorophyta	70.00			100.00		6.18
Chaetomorpha indica	Chlorophyta	700.00			100.00		12.43
Chaetomorpha indica	Chlorophyta	700.00			100.00		14.51
Chaetomorpha indica	Chlorophyta	700.00			100.00		14.63
Ulva sp.	Chlorophyta	0.00			100.00		7.18
Ulva sp.	Chlorophyta	0.00			100.00		7.69
Ulva sp.	Chlorophyta	0.00			100.00		5.64
Ulva sp.	Chlorophyta	7.00			100.00		14.87
Ulva sp.	Chlorophyta	7.00			100.00		7.18
Ulva sp.	Chlorophyta	7.00			100.00		6.54
Ulva sp.	Chlorophyta	35.00			100.00		16.54
Ulva sp.	Chlorophyta	35.00			100.00		8.85
Ulva sp.	Chlorophyta	35.00			100.00		11.41
Ulva sp.	Chlorophyta	70.00			100.00		8.72
Ulva sp.	Chlorophyta	70.00			100.00		15.64
Ulva sp.	Chlorophyta	70.00			100.00		24.36
Ulva sp.	Chlorophyta	700.00			100.00		9.62
Ulva sp.	Chlorophyta	700.00			100.00		8.97
Ulva sp.	Chlorophyta	700.00			100.00		22.05
Cladophora coelothrix	Chlorophyta	65.90			100.00		44.00
Chaetomorpha indica	Chlorophyta	65.90			100.00		44.00
Ulva sp.	Chlorophyta	65.90			100.00		23.00
Cladophora coelothrix	Chlorophyta	65.90					6.60
Cladophora coelothrix	Chlorophyta	65.90					4.90
Chaetomorpha indica	Chlorophyta	65.90					-2.40
Chaetomorpha indica	Chlorophyta	65.90					-6.70
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		0.50	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		0.20	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		20.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		0.40	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		30.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.50	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		0.60	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		5.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		5.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		5.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		2.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		3.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		5.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		5.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		5.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		5.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		10.00	10.00	1000.00		
Kappaphycus alvarezii	Rhodophyta		1.00	10.00			
Kappaphycus alvarezii	Rhodophyta		2.00	10.00			
Kappaphycus alvarezii	Rhodophyta		3.00	10.00			
Kappaphycus alvarezii	Rhodophyta		5.00	10.00			
Kappaphycus alvarezii	Rhodophyta		10.00	10.00			
Ulva pertusa	Chlorophyta		0.36	0.71			7.00
Ulva pertusa	Chlorophyta		0.36	0.71			6.60
Ulva pertusa	Chlorophyta		0.36	0.71			7.60
Ulva pertusa	Chlorophyta		0.36	0.71			6.40
Ulva pertusa	Chlorophyta		0.36	0.71			10.50
Ulva pertusa	Chlorophyta		0.36	0.71			7.80
Ulva pertusa	Chlorophyta		0.36	0.71			11.10
Ulva pertusa	Chlorophyta		0.36	0.71			7.40
Ulva pertusa	Chlorophyta		0.36	0.71			14.10
Ulva pertusa	Chlorophyta		0.36	0.71			8.60
Ulva pertusa	Chlorophyta		0.36	0.71			18.60
Ulva pertusa	Chlorophyta		0.36	0.71			12.80
Ulva pertusa	Chlorophyta		0.36	0.71			20.50
Ulva pertusa	Chlorophyta		0.36	0.71			14.00
Ulva pertusa	Chlorophyta		0.36	0.71			20.80
Ulva pertusa	Chlorophyta		0.36	0.71			12.70
Ulva pertusa	Chlorophyta		0.58	0.71			13.00
Ulva pertusa	Chlorophyta		0.58	0.71			19.90
Ulva pertusa	Chlorophyta		0.58	0.71			21.80
Ulva pertusa	Chlorophyta		0.58	0.71			22.20
Ulva pertusa	Chlorophyta		0.58	0.71			21.90
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00		1.10			
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			11.20
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			13.50
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			13.10
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			15.30
Ulva pertusa	Chlorophyta		0.44	0.71			11.10
Ulva pertusa	Chlorophyta		0.44	0.71			13.80
Ulva pertusa	Chlorophyta		0.44	0.71			13.00
Ulva pertusa	Chlorophyta		0.44	0.71			15.90
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			13.20
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			14.30
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			14.70
Ulva pertusa	Chlorophyta	10.00	1.00	0.71			22.00
Ulva pertusa	Chlorophyta		0.26	0.71			6.30
Ulva pertusa	Chlorophyta		0.26	0.71			14.90
Ulva pertusa	Chlorophyta		0.26	0.71			9.80
Ulva pertusa	Chlorophyta		0.26	0.71			19.40
Porphyra leucosticta	Rhodophyta	25.00	2.50	0.08	125.00		8.31
